id,title,description,availability,condition,price,brand,image_link,additional_image_link
lenovo-thinkpad-l13-yoga-i5-11-16gb-256gb-touch,Lenovo ThinkPad L13 Yoga,"Intel Core i5 11e génération, RAM 16GB, SSD 256GB, écran 13,3"" tactile et pliable, carte g𝐫𝐚𝐩𝐡𝐢que Iris Xe, clavier AZERTY rétroéclairé, non détectée, excellente autonomie.",in stock,new,200000 XOF,Lenovo,https://res.cloudinary.com/dwredmsqe/image/upload/v1781094713/catalogue/lenovo-thinkpad-l13-yoga-i5-11-16gb-256gb-touch/1.jpg,"https://res.cloudinary.com/dwredmsqe/image/upload/v1781094713/catalogue/lenovo-thinkpad-l13-yoga-i5-11-16gb-256gb-touch/2.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1781094714/catalogue/lenovo-thinkpad-l13-yoga-i5-11-16gb-256gb-touch/3.jpg"
lenovo-thinkpad-t480-i7-8-8gb-256gb-touch,lenovo ThinkPad T480 Tactile,"Core i7 8e génération, RAM 8GB, SSD 256GB, écran 14"" tactile, clavier AZERTY rétroéclairé, reconnaissance faciale, excellente autonomie.",in stock,new,155000 XOF,Lenovo,https://res.cloudinary.com/dwredmsqe/image/upload/v1781093837/catalogue/lenovo-thinkpad-t480-i7-8-8gb-256gb-touch/1.jpg,"https://res.cloudinary.com/dwredmsqe/image/upload/v1781093838/catalogue/lenovo-thinkpad-t480-i7-8-8gb-256gb-touch/2.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1781093838/catalogue/lenovo-thinkpad-t480-i7-8-8gb-256gb-touch/3.jpg"
hp-elitebook-830-g8-i7-11-16gb-512gb,Hp elitebook 830 G8,"Core i7 11e génération, RAM 16GB, SSD 512GB, écran 13,3"" Full HD, clavier AZERTY rétroéclairé, excellente autonomie.",in stock,new,260000 XOF,HP,https://res.cloudinary.com/dwredmsqe/image/upload/v1781094066/catalogue/hp-elitebook-830-g8-i7-11-16gb-512gb/1.jpg,"https://res.cloudinary.com/dwredmsqe/image/upload/v1781094066/catalogue/hp-elitebook-830-g8-i7-11-16gb-512gb/2.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1781094067/catalogue/hp-elitebook-830-g8-i7-11-16gb-512gb/3.jpg"
dell-latitude-5400-i5-8-8gb-256gb,Dell latitude 5400,"Core i5 8e génération, RAM 8GB, SSD 256GB, écran 14 pouces, clavier AZERTY rétroéclairé, excellente autonomie.",in stock,new,140000 XOF,Dell,https://res.cloudinary.com/dwredmsqe/image/upload/v1781093722/catalogue/dell-latitude-5400-i5-8-8gb-256gb/1.jpg,"https://res.cloudinary.com/dwredmsqe/image/upload/v1781093722/catalogue/dell-latitude-5400-i5-8-8gb-256gb/2.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1781093723/catalogue/dell-latitude-5400-i5-8-8gb-256gb/3.jpg"
dell-latitude-7320-i7-11-16gb-512gb,Dell latitude 7320,"Core i7 11e génération, RAM 16GB, SSD 512GB, écran 13,3"" Full HD, clavier AZERTY rétroéclairé, excellente autonomie.",in stock,new,210000 XOF,Dell,https://res.cloudinary.com/dwredmsqe/image/upload/v1781093575/catalogue/dell-latitude-7320-i7-11-16gb-512gb/1.jpg,"https://res.cloudinary.com/dwredmsqe/image/upload/v1781093575/catalogue/dell-latitude-7320-i7-11-16gb-512gb/2.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1781093576/catalogue/dell-latitude-7320-i7-11-16gb-512gb/3.jpg"
dell-latitude-7420-i5-11-16gb-256gb-touch,Dell latitude 7420 Tactile,"Intel Core i5 11e génération, RAM 16GB, SSD 256GB, écran 14 pouces Full HD *tactile, clavier AZERTY rétroéclairé, lecteur d'empreintes digitales, excellente autonomie.",in stock,new,200000 XOF,Dell,https://res.cloudinary.com/dwredmsqe/image/upload/v1781029553/catalogue/dell-latitude-7420-i5-11-16gb-256gb-touch/1.jpg,"https://res.cloudinary.com/dwredmsqe/image/upload/v1781029554/catalogue/dell-latitude-7420-i5-11-16gb-256gb-touch/2.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1781029555/catalogue/dell-latitude-7420-i5-11-16gb-256gb-touch/3.jpg"
hp-250-g7-i5-8-8gb-256gb,hp 250 g7,"Processeur intel Core i5 8e Gen, RAM 8GB, SSD 256GB, écran 15 pouces Full HD, clavier QWERTY, excellente autonomie.",in stock,new,130000 XOF,HP,https://res.cloudinary.com/dwredmsqe/image/upload/v1781219232/catalogue/hp-250-g7-i5-8-8gb-256gb/1.jpg,"https://res.cloudinary.com/dwredmsqe/image/upload/v1781219233/catalogue/hp-250-g7-i5-8-8gb-256gb/2.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1781219234/catalogue/hp-250-g7-i5-8-8gb-256gb/3.jpg"
hp-250-g7-i7-8-8gb-256gb,hp 250 g7,"Processeur intel Core i7 8e Gen, RAM 8GB, SSD 256GB, écran 15 pouces Full HD, clavier QWERTY, excellente autonomie.",in stock,new,140000 XOF,HP,https://res.cloudinary.com/dwredmsqe/image/upload/v1781219286/catalogue/hp-250-g7-i7-8-8gb-256gb/1.jpg,"https://res.cloudinary.com/dwredmsqe/image/upload/v1781219286/catalogue/hp-250-g7-i7-8-8gb-256gb/2.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1781219287/catalogue/hp-250-g7-i7-8-8gb-256gb/3.jpg"
dell-3180-non-intel-dual-core-4gb-128gb,Dell 3180 non tactile,"Intel Dual Core, RAM 4GB, SSD 128GB, écran 12 pouces, clavier QWERTY, excellente autonomie.",in stock,new,70000 XOF,Dell,https://res.cloudinary.com/dwredmsqe/image/upload/v1781328808/catalogue/dell-3180-non-intel-dual-core-4gb-128gb/1.jpg,
hp-elitebook-840-g8-i5-11-8gb-256gb,Hp elitebook 840 G8,"Core i5 11e génération, RAM 8GB, SSD 256GB, écran 14 pouces, clavier AZERTY rétroéclairé, excellente autonomie.",in stock,new,200000 XOF,HP,https://res.cloudinary.com/dwredmsqe/image/upload/v1782509254/catalogue/hp-elitebook-840-g8-i5-11-8gb-256gb/1.jpg,"https://res.cloudinary.com/dwredmsqe/image/upload/v1782509255/catalogue/hp-elitebook-840-g8-i5-11-8gb-256gb/2.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1782509255/catalogue/hp-elitebook-840-g8-i5-11-8gb-256gb/3.jpg,https://res.cloudinary.com/dwredmsqe/image/upload/v1782509256/catalogue/hp-elitebook-840-g8-i5-11-8gb-256gb/4.jpg"
